feature,importance
hour_cos,17.737354589102026
hour,16.930516312719977
hour_sin,8.827319189954233
count_M026,3.7209851677826906
count_M005,3.5460287369324845
dayofweek,3.4989817212705576
last_sensor_idx,3.0763505368814923
label_fraction,2.7054595093316625
count_M007,2.6118823944740535
off_count,2.426555693888923
prev_sensor_idx,2.3769524845774455
count_M009,2.253426489975858
count_M001,2.092854744088475
num_events,2.0716365497131672
motion_events,1.9089201340140165
event_rate_per_sec,1.8806441067775654
temp_mean,1.7948417637788145
minute,1.7404747353315702
on_count,1.6873724211553054
count_M021,1.3517914636999373
count_M006,1.3072768323704074
count_M013,0.9598662403088606
temp_std,0.9573555661943938
temp_max,0.9090966348375039
burst_rate,0.9084368220063855
count_M024,0.7130529385718994
count_M022,0.6781871249555589
temp_min,0.6678470005074283
count_M003,0.6120251153084958
temp_events,0.5897202579956529
top_sensor_share,0.5573673137767906
count_T002,0.5083196035031999
count_M008,0.49785775450196246
motion_ratio,0.4426409818966934
on_off_ratio,0.4349376406348881
count_M002,0.43435738738700413
count_T001,0.42745620563034803
unique_sensors,0.3946097315844328
count_T004,0.3386635780157733
last_equals_prev,0.3345178916159098
count_M012,0.33339724171314833
count_M010,0.32090314760264715
count_M025,0.3110921630696026
count_T005,0.29304800725153485
is_weekend,0.28080138636109614
count_T003,0.25979237531414945
count_M011,0.2527599014058977
count_M027,0.20934609345968766
count_M014,0.18550905839393675
count_M023,0.17881658385357535
count_M020,0.15261981585263226
count_M017,0.11394646253888985
count_M016,0.07288492247042075
count_M004,0.06220899919602406
count_M018,0.03195584131629412
count_M019,0.026976633146603802
door_ratio,0.0
door_events,0.0
count_M015,0.0
count_M031,0.0
