feature,importance
hour_cos,13.590493003092512
dayofweek,9.843269220015115
hour,9.140864592048715
hour_sin,6.320763906546131
count_M012,5.242894262897597
last_sensor_idx,4.785038870188788
prev_sensor_idx,4.309191628192724
label_fraction,4.281277229368149
count_M003,4.138253787820187
count_M015,3.913742367603137
burst_rate,2.8150919088974624
count_M011,2.375269764370392
temp_mean,1.8875783582385965
count_M004,1.7625761411229508
temp_max,1.7283362496818544
temp_min,1.586471442283798
motion_ratio,1.5651709375466307
count_M014,1.5523233901318774
on_off_ratio,1.4099330296884935
top_sensor_share,1.3341276135361473
count_M017,1.26281916823904
count_M005,1.203172691687227
minute,1.1753772055431606
on_count,1.1219453415819651
num_events,1.0749207112707588
count_T001,1.0601209438293422
count_M016,0.9259831149228516
motion_events,0.896732264695664
count_M018,0.8857880398015738
unique_sensors,0.8175536196664196
temp_events,0.8070311558849698
count_M001,0.75805091458751
count_M010,0.7208999876667008
count_M009,0.6549747077703651
off_count,0.6420344156124401
last_equals_prev,0.5841128647556171
count_M006,0.3815528888094982
count_M002,0.3605262822514758
event_rate_per_sec,0.35378971257954206
count_T002,0.3420968208944568
count_M007,0.30136372170631437
count_M008,0.04437649758724339
count_M013,0.04210922538458916
is_weekend,0.0
door_events,0.0
count_T004,0.0
count_T003,0.0
count_T005,0.0
temp_std,0.0
door_ratio,0.0
count_M020,0.0
count_M021,0.0
count_M019,0.0
count_M022,0.0
count_M023,0.0
count_M024,0.0
count_D002,0.0
count_M031,0.0
count_D004,0.0
count_M029,0.0
