dataset,label,hour,count
aruba,Bed_to_Toilet,5,49
aruba,Bed_to_Toilet,4,43
aruba,Bed_to_Toilet,3,14
aruba,Bed_to_Toilet,6,14
aruba,Bed_to_Toilet,2,10
aruba,Bed_to_Toilet,7,9
aruba,Bed_to_Toilet,1,7
aruba,Bed_to_Toilet,0,5
aruba,Bed_to_Toilet,8,2
aruba,Eating,18,291
aruba,Eating,9,273
aruba,Eating,10,249
aruba,Eating,19,248
aruba,Eating,12,167
aruba,Eating,20,158
aruba,Eating,15,148
aruba,Eating,13,118
aruba,Eating,16,116
aruba,Eating,11,111
aruba,Eating,14,111
aruba,Eating,17,93
aruba,Eating,7,84
aruba,Eating,8,81
aruba,Eating,0,18
aruba,Eating,6,18
aruba,Eating,22,13
aruba,Eating,21,6
aruba,Housekeeping,11,139
aruba,Housekeeping,10,129
aruba,Housekeeping,14,110
aruba,Housekeeping,15,83
aruba,Housekeeping,17,51
aruba,Housekeeping,9,33
aruba,Housekeeping,12,25
aruba,Housekeeping,6,24
aruba,Housekeeping,16,22
aruba,Housekeeping,7,13
aruba,Housekeeping,18,3
aruba,Housekeeping,13,1
aruba,Meal_Preparation,18,1316
aruba,Meal_Preparation,17,1103
aruba,Meal_Preparation,19,858
aruba,Meal_Preparation,16,847
aruba,Meal_Preparation,7,804
aruba,Meal_Preparation,8,770
aruba,Meal_Preparation,9,725
aruba,Meal_Preparation,15,638
aruba,Meal_Preparation,10,574
aruba,Meal_Preparation,14,564
aruba,Meal_Preparation,12,543
aruba,Meal_Preparation,13,503
aruba,Meal_Preparation,6,487
aruba,Meal_Preparation,11,417
aruba,Meal_Preparation,5,284
aruba,Meal_Preparation,20,155
aruba,Meal_Preparation,4,39
aruba,Meal_Preparation,21,29
aruba,Meal_Preparation,22,13
aruba,Meal_Preparation,2,10
aruba,Meal_Preparation,3,8
aruba,Meal_Preparation,23,5
aruba,Relax,20,8863
aruba,Relax,19,7912
aruba,Relax,21,7869
aruba,Relax,22,6528
aruba,Relax,18,5987
